ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Site Name,Discount,Additional Discounts,Feedback
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,532,65,45990,68490,Flipkart,46% off,10% Off on SBI Credit Cards,Positive
Lenovo Thinkpad Ryzen 5 Hexa Core 5600U,4.5,0,0,56990,78400,Flipkart,37% off,10% Off on SBI Credit Cards,Positive
Lenovo ThinkPad E15 Core i3 11th Gen,4.3,0,0,45000,59239,Flipkart,24% off,10% Off on SBI Credit Cards,Positive
MSI Core i5 11th Gen,4,95,12,45990,66990,Flipkart,17% off,No Discounts,Positive
Lenovo Core i5 10th Gen,4.2,0,0,46990,62911,Flipkart,38% off,10% Off on SBI Credit Cards,Positive
MSI Modern 14 Core i3 11th Gen,4.3,153,20,48790,55990,Flipkart,36% off,Flat INR 500 Off on SBICards,Positive
MSI Modern 14 Core i3 10th Gen,4.4,515,99,47490,52491,Flipkart,26% off,Flat INR 500 Off on SBICards,Positive
Lenovo Ideapad 330 Core i5 8th Gen,4.2,4431,569,46990,62290,Flipkart,25% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i3 11th Gen,1.8,0,0,49490,60999,Flipkart,38% off,10% Off on SBI Credit Cards,Negative
MSI Modern 14 Core i5 10th Gen,4.4,846,107,41990,61990,Flipkart,22% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen,4.4,170,29,43990,58890,Flipkart,29% off,10% Off on SBI Credit Cards,Positive
MSI Modern 14 Ryzen 5 Hexa Core 4500U,4.5,1263,203,43990,61990,Flipkart,27% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,3.2,0,0,39490,60090,Flipkart,31% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,480,47,36990,56690,Flipkart,46% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 3 Core i3 11th Gen,4.4,310,41,44490,57390,Flipkart,42% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad S340 Core i3 10th Gen,4.3,524,89,42490,58490,Flipkart,33% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen,3.9,0,0,40200,49999,Flipkart,29% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo V15 Core i3 11th Gen,0,0,0,42990,50250,Flipkart,35% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Ideapad 310 APU Quad Core A10 A10,3.9,580,131,40490,0,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad 330 Core i5 8th Gen,4.2,7048,978,43990,52853,Flipkart,33% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo 310 Core i5 6th Gen,4.2,3369,769,44000,0,Flipkart,42% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i3 11th Gen,0,0,0,41990,61490,Flipkart,27% off,10% Off on SBI Credit Cards,Negative
Lenovo Yoga 510 Core i3 6th Gen,4.1,2067,395,44500,0,Flipkart,25% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i3 10th Gen,3.1,71,15,44590,50613,Flipkart,28% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i5 7th Gen,4.2,13350,2628,40990,45000,Flipkart,26% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.4,0,0,34990,54490,Flipkart,26% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 3 Core i3 11th Gen,4.3,1111,115,38990,64490,Flipkart,24% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,4.3,323,34,35840,61490,Flipkart,34% off,No Discounts,Positive
Lenovo IdeaPad 3 Core i3 11th Gen,4.3,0,0,34990,60890,Flipkart,41% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad Core i3 11th Gen,4.1,0,0,39490,64490,Flipkart,18% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim3 Core i3 11th Gen,4.4,1140,166,38990,57290,Flipkart,62% off,Save extra with No Cost EMI,Positive
Lenovo Core i3 11th Gen,4.3,120,12,38990,51544,Flipkart,26% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad S145 Core i3 10th Gen,4,803,100,36490,39956,Flipkart,25% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 3 Core i3 10th Gen,0,0,0,35290,61490,Flipkart,29% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen,4.3,0,0,36989,62190,Flipkart,33% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ryzen 3 Dual Core 3rd Gen,0,0,0,31999,54490,Flipkart,42% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Core i3 10th Gen,0,0,0,37990,56590,Flipkart,23% off,10% Off on SBI Credit Cards,Negative
Lenovo Core i3 11th Gen,4.2,216,28,35990,49096,Flipkart,44% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,5,0,0,38980,56800,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,4,0,0,39990,49800,Flipkart,33% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,5,0,0,37990,48900,Flipkart,17% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,3.7,0,0,36490,42705,Flipkart,41% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad 320 Core i3 7th Gen,4,834,152,38000,0,Flipkart,24% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,3.2,0,0,35399,50990,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i5 8th Gen,0,0,0,39999,65000,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,3400,363,33490,56590,Flipkart,35% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,4.1,560,41,24990,40490,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 10th Gen,3.7,247,26,32990,57990,Flipkart,21% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad 3 Celeron Dual Core,3.9,0,0,29990,40490,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i3 10th Gen,0,0,0,31990,57990,Flipkart,26% off,No Discounts,Negative
Lenovo IdeaPad 3 Celeron Dual Core,0,0,0,30199,36999,Flipkart,65% off,No Discounts,Negative
Lenovo Core i3 6th Gen,3.9,1937,373,31049,0,Flipkart,72% off,Save extra with No Cost EMI,Positive
Lenovo IdeaPad 3 15IML05 Core i3 10th Gen,3.6,0,0,32990,57990,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i3 11th Gen,3.5,167,24,33990,45832,Flipkart,38% off,10% Off on SBI Credit Cards,Positive
Lenovo Ryzen 3 Dual Core 3250U,3.2,0,0,30990,36923,Flipkart,22% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Lenovo V15 Celeron Dual Core,3,0,0,31990,41625,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad 3 Core i5 11th Gen,4.2,175,17,52490,88990,Flipkart,19% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,83,11,50990,76890,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,4.3,465,41,54490,74390,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i5 11th Gen,4.3,0,0,52990,84890,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
MSI GF63 Thin Core i5 10th Gen,4.1,1192,154,53990,72990,Flipkart,34% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.6,0,0,50990,67990,Flipkart,28% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Core i5 11th Gen,4.4,0,0,54990,66470,Flipkart,31% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad 3 Core i5 10th Gen,5,0,0,57500,86720,Flipkart,44% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 3 Core i5 10th Gen,4.4,0,0,53490,76890,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,4.3,424,41,50999,75390,Flipkart,24% off,10% Off on SBI Credit Cards,Positive
Lenovo B50,3.8,78,17,52490,0,Flipkart,20% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,4.4,0,0,54999,69890,Flipkart,41% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad 3 Core i5 10th Gen,3.9,944,101,52499,69000,Flipkart,77% off,No Discounts,Positive
Lenovo Ideapad Slim 3 Core i3 11th Gen,4.3,0,0,50001,60790,Flipkart,25% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i5 10th Gen,0,0,0,50099,62999,Flipkart,22% off,No Discounts,Negative
Lenovo Core i5 10th Gen,0,0,0,50999,58999,Flipkart,31% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Ideapad Slim 3i Core i5 11th Gen,2.8,0,0,50995,68999,Flipkart,41% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 3i Core i5 11th Gen,3.3,0,0,52999,85999,Flipkart,12% off,10% Off on SBI Credit Cards,Positive
Lenovo ThinkBook 14 Core i3 10th Gen,2.8,0,0,50001,50999,Flipkart,43% off,10% Off on SBI Credit Cards,Positive
MSI Katana GF66 Core i5 11th Gen,4.5,181,33,72990,106990,Flipkart,32% off,Flat INR 500 Off on SBI Cards,Positive
MSI GF63 Thin Core i7 10th Gen,4.4,547,63,72990,95990,Flipkart,36% off,10% Off on SBI Credit Cards,Positive
Lenovo Legion 5 Ryzen 5 Hexa Core 4600H,4.6,354,38,60990,90890,Flipkart,39% off,Flat INR 2000 Off on SBICards,Positive
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 5800H,4.6,0,0,78990,86889,Flipkart,32% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 5i Core i5 11th Gen,4.4,1075,122,64999,101390,Flipkart,37% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 1 Celeron Dual Core,3.5,0,0,21990,34890,Flipkart,20% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad Flex 5 Core i3 11th Gen,4.2,0,0,58990,82490,Flipkart,36% off,Flat INR 500 Off on SBI Cards,Positive
MSI GF65 Thin Core i7 10th Gen,4.4,821,101,89990,123990,Flipkart,39% off,10% Off on SBI Credit Cards,Positive
MSI GF63 Thin Core i5 10th Gen,4.5,2013,267,63990,83990,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
